,object,LocationX,LocationY,LocationZ,RotationX,RotationY,RotationZ
0,objet,0.0,0.0,0.0,0,0,0
1,cam1,0.0,-2.2,1.0999999999999999,60,0,0
2,cam2,1.0999999999999999,-1.9052558883257653,1.0999999999999999,60,0,30
3,cam3,1.9052558883257653,-1.0999999999999999,1.0999999999999999,60,0,60
4,cam4,2.2,0.0,1.0999999999999999,60,0,90
5,cam5,1.9052558883257653,1.0999999999999999,1.0999999999999999,60,0,120
6,cam6,1.0999999999999999,1.9052558883257653,1.0999999999999999,60,0,150
7,cam7,0.0,2.2,1.0999999999999999,60,0,180
8,cam8,-1.0999999999999999,1.9052558883257653,1.0999999999999999,60,0,210
9,cam9,-1.9052558883257653,1.0999999999999999,1.0999999999999999,60,0,240
10,cam10,-2.2,0.0,1.0999999999999999,60,0,270
11,cam11,-1.9052558883257653,-1.0999999999999999,1.0999999999999999,60,0,300
12,cam12,-1.0999999999999999,-1.9052558883257653,1.0999999999999999,60,0,330
